1.000000000000000000e+00,5.044258999999999826e-01,7.372039999999999704e-01
0.000000000000000000e+00,9.683070000000000288e-01,7.246053999999999551e-01
1.000000000000000000e+00,6.264054000000000011e-01,6.834360000000000435e-01
1.000000000000000000e+00,9.243919999999999915e-01,6.635020000000000362e-01
0.000000000000000000e+00,8.741535999999999751e-01,9.193786000000000458e-01
0.000000000000000000e+00,9.700218999999999925e-01,5.616638000000000464e-01
0.000000000000000000e+00,5.415868999999999822e-01,8.241581000000000046e-01
1.000000000000000000e+00,3.990602000000000038e-02,7.452505999999999853e-01
1.000000000000000000e+00,8.443057999999999952e-01,6.691278000000000503e-01
1.000000000000000000e+00,5.273126999999999676e-01,7.162186000000000385e-01
1.000000000000000000e+00,4.868146999999999891e-01,3.403679000000000010e-01
1.000000000000000000e+00,6.406789000000000511e-01,9.853030000000000399e-01
0.000000000000000000e+00,9.992577000000000265e-01,7.939446999999999477e-01
0.000000000000000000e+00,2.806813000000000016e-02,9.988105000000000455e-01
0.000000000000000000e+00,7.313488000000000211e-01,7.102108000000000310e-01
0.000000000000000000e+00,9.281509999999999483e-01,4.980210999999999943e-01
0.000000000000000000e+00,2.729093000000000213e-01,8.648664999999999825e-01
1.000000000000000000e+00,7.950433999999999557e-01,9.662697000000000092e-01
0.000000000000000000e+00,9.382481000000000293e-01,7.900055999999999745e-01
1.000000000000000000e+00,8.867239000000000093e-01,4.421075999999999895e-01
